Document_ID,Design_Input,Risk_Assessment,Last_Reviewed,Compliance_Score,Critical_Issues,Composite_Compliance_Score
158602,The device may exhibit premature battery depletion.,Low,2017-08-28,42.71,0,46.626000000000005
165171,"The data in the National Joint Registry of England, Wales and Northern Ireland (NJREWNI) and Australian Orthopaedic Association National Joint Replacement Registry (AOANJRR) indicate that the first generation JOURNEY BCS Knee System has a revision rate over 1.5 times the primary total knee arthroplasty device class average revision rates reported in those registries.",Medium,2018-06-13,59.52,0,47.712
176399,Potential for leaking product,Medium,2018-09-21,63.32,0,49.992
183097,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,Medium,2020-08-12,56.28,0,45.768
189291,There was a label mix-up between two model numbers resulting in the incorrect guidewire being contained in the kits for both model numbers.,Medium,2021-09-13,89.72,0,65.832
196079,Excessive ultraviolet-C radiation,Medium,2022-01-27,61.41,0,48.846
203282,This recall has been initiated due to reports that the product code and product name were incorrectly listed on the lidstock of affected kits.,Medium,2023-08-10,56.86,0,46.116
209614,"Insulin pumps that have been dropped, bumped, or experienced physical impact may have damage to internal electrical components, which may cause reduced pump battery life. Since the defect reduces the battery life overall, it shortens the time between low battery alarms and increases the frequency with which the user must insert a new battery. Further, the defect may also deliver the low battery alarm when there is significantly less time before the battery completely runs out, from the expected up to 10-hour buffer the low alert is supposed to signal, leading to device powering down and stopping insulin delivery unexpectedly. Per the firm, a subset of pumps with the defect showed the low alert alarm was delivered ~2.5 hours before the device shut off, however, patient reports indicate the time could be even shorter. Replacing the battery will not resolve this issue and the short battery life and the truncated low battery alert lead time will continue to occur. Early battery depletion could result in power loss and insulin delivery could be interrupted, resulting in under delivery of insulin potentially leading to hyperglycemia and/or DKA.",Medium,2024-07-31,72.56,1,54.536
26624,The correct individual insulin syringe labeling size and guage may be different than what is on the incorrectly labeled shelf box .,Low,2003-02-24,48.46,0,50.076
34793,The device has a potential risk of failure caused by faulty wiring within the electrical component.  The wires can overheat and eventually break in two.,Low,2004-09-03,88.13,1,72.87799999999999
40482,Some hard shell carry case for  LIFEPAK 500 and LIFEPAK CR Plus automated external defibrillators may have blocked pressure vent which may make it difficult to open the case after a sudden decrease in altitude (such as in aircraft landng or mountain descent).,Low,2005-07-12,44.47,0,47.682
48148,Sticky Valve Disk- The valve disk has an increased tendency to stick during operation causing noise and pressure/vacuum alarms.,Low,2006-08-25,99.21,0,80.526
53791,Tip of PathFinder surgical instrument broke during procedure.,Low,2007-07-18,86.33,0,72.798
73274,"Products exceed inaccuracy threshold , with many complaints resulting from inaccurate low results.",Low,2008-09-19,51.92,0,52.152
85632,A software defect - may result in a false indication and warning on the OEC 9900 Workstation and C-arm display that the X-Ray tube Anode is over-heated.  This will also cause the displayed air kerma rate and cumulative air kerma to be inaccurate.,Low,2009-08-12,40.33,1,44.19799999999999
93548,The AortaScan AMI 9700 devices may experience the loss of a factory installed software configuration file which results in a loss of the aorta measurement function.,Low,2010-08-23,88.93,0,74.358
100377,"Reports of non-delivery/ significant under-delivery of fluids when the CADD Medication Cassette Reservoir is not correctly latched to the pump.

EXPANDED:  On 7/14/11, Smith Medical expanded this recall to include all consignees with affected pumps.",Low,2011-05-10,82.41,0,70.446
113089,"The firm initiated the product recall because labeling on some of the intermediate boxes of catheters identify the contents to be M16C, a coud-tip catheters while the actual contents are M16Fr male, 16Fr, straight-tip catheters with the pouch and the case box labeled as M16Fr male, 16Fr, straight-tip catheters.",Low,2012-09-19,83.74,0,71.244
122141,No antibacterial bandages were packed in boxes labeled as antibacterial.,Low,2013-08-21,86.28,0,72.768
130371,"Two malfunctions posing potential risk to patients were identified with Siemens Ysio Max, AXIOM Luminos dRF Max, Uroskop Omnia Max, and Luminos Agile Max systems with a specific set of serial numbers that will cause lost images due to an automatic Radiology Information System (RIS) worklist update, thus causing examinations to be repeated. Image label may also be displayed incorrectly after images",Low,2014-09-02,44.44,0,47.664
139235,Irregular battery disconnection resulted in issues with Mobile Health Button (MHB) Charging.,Low,2015-07-23,61.51,0,57.906
149595,"There is a risk that defibrillation electrodes model DF29N will be connected with the defibrillator Welch Allyn AED 10 only with delay or not at all.  This may cause a situation in which a patient, who is in a life threatening condition and requires a
defibrillation shock, cannot be treated in good time.",Low,2016-09-01,46.95,0,49.17
158629,The device may exhibit premature battery depletion.,Low,2017-08-28,91.79,0,76.07400000000001
167222,Reports have been received of an anomaly that can result in a treatment without intended gating (respiratory tracking/monitoring). This issue occurs when a patient planned with gating is treated on more than one system.,Low,2018-08-20,77.4,0,67.44
176400,Potential for leaking product,Medium,2018-09-21,59.85,0,47.91
183098,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,Medium,2020-08-12,43.81,0,38.286
189113,There is a potential for false positive results.,Low,2021-09-02,58.66,0,56.196
196075,Device may intermittently fail to produce audio. Turning the unit off and on does not resolve the issue; disconnecting and reconnecting to AC power does not reliably resolve the issue.,Medium,2022-09-06,59.51,0,47.705999999999996
203283,This recall has been initiated due to reports that the product code and product name were incorrectly listed on the lidstock of affected kits.,Medium,2023-08-10,83.78,0,62.268
209941,Manual resuscitator circuit flow controller may come apart due to a missing manufacturing step.,Medium,2024-08-30,78.25,0,58.949999999999996
26625,The correct individual insulin syringe labeling size and guage may be different than what is on the incorrectly labeled shelf box .,Low,2003-02-24,93.23,0,76.938
34888,Product is mislabeled as a Mushroom Cap Vacuum but actually contains a Bell Style Assisted Delivery System,Low,2004-08-17,68.33,0,61.998
40483,Some hard shell carry case for  LIFEPAK 500 and LIFEPAK CR Plus automated external defibrillators may have blocked pressure vent which may make it difficult to open the case after a sudden decrease in altitude (such as in aircraft landng or mountain descent).,Low,2005-07-12,47.18,0,49.308
48199,"A component of the device is a Dell laptop computer, which contains batteries that are under recall because they can overheat and cause a fire.",Low,2006-09-08,82.79,0,70.674
53792,Tip of PathFinder surgical instrument broke during procedure.,Low,2007-07-18,85.65,0,72.39
85541,"Audible signal is not available at all times when using the HLC fluoroscopy mode.  Special means of activation are not designed in for selection of High Level Controls, as required by regulation.",Low,2008-09-29,73.68,0,65.208
85633,A software defect - may result in a false indication and warning on the OEC 9900 Workstation and C-arm display that the X-Ray tube Anode is over-heated.  This will also cause the displayed air kerma rate and cumulative air kerma to be inaccurate.,Low,2009-08-12,86.26,1,71.756
93550,The BladderScan BVM 9500 devices may experience the loss of a factory installed software configuration file which results in a loss of the aorta measurement function.,Low,2010-08-23,69.63,0,62.778
101351,An investigation was initiated based on a report from the field in which an Intensive Follow-up Indicator (IFI) message was unexpectedly received by a medical professional when using Model 250 version 8.0 software to interrogate a patient's Model 103 Generator.,Low,2011-05-06,71.36,0,63.815999999999995
109065,Wear of the keypad that may lead to damage such as tearing or peeling of the edge of the keypad from the pump.,Low,2012-07-16,65.65,0,60.39
116171,"Firm became aware that some products within the specified lot may not have been sealed appropriately, thus compromising the sterile barrier.",Low,2013-01-04,41.53,0,45.918
130372,"Two malfunctions posing potential risk to patients were identified with Siemens Ysio Max, AXIOM Luminos dRF Max, Uroskop Omnia Max, and Luminos Agile Max systems with a specific set of serial numbers that will cause lost images due to an automatic Radiology Information System (RIS) worklist update, thus causing examinations to be repeated. Image label may also be displayed incorrectly after images",Low,2014-09-02,46.47,0,48.882
138996,"It was found that if specific operations are performed in multi-phase helical scanning, the acquired raw data may not be saved due to a software problem.",Low,2015-05-08,41.89,0,46.134
146078,Loose connector ports in controller body.,Low,2016-06-08,78.18,0,67.908
158627,"There is a potential failure of the top plate assembly, which is the component that connects the seating system of the wheelchair to the base.",Low,2017-09-01,58.86,1,55.315999999999995
167279,Reports have been received of an anomaly that can result in a treatment without intended gating (respiratory tracking/monitoring). This issue occurs when a patient planned with gating is treated on more than one system.,Low,2018-08-20,70.51,0,63.306000000000004
176401,Potential for leaking product,Medium,2018-09-21,94.45,0,68.67
183099,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,Medium,2020-08-12,54.96,0,44.976
189114,There is a potential for false positive results.,Low,2021-09-02,64.62,0,59.772
195698,"The outer label does not match the device inside the package. The affected lot of EVOLVE Proline Stem 7.5mm +2 contains a size 9.5mm +4 stem, while the affected lot of EVOLVE Proline Stem 9.5mm +4 contains a size 7.5mm +2 stem.",Medium,2022-08-03,85.33,0,63.198
202861,"There is a potential for blood backfill leakage
and foreign material.",Medium,2023-08-08,53.73,0,44.238
210103,There is a defect in the air-in-line software algorithm.,Medium,2024-09-13,44.62,1,37.772
29626,"The 400cc, 460cc, 500cc and 560cc sizes of the McGhan Style 40 Silicone-filled Breast Implants were manufactured using one size smaller shells than required.",Low,2003-09-12,57.39,0,55.434
34915,Assay may give elevated patients results.,Low,2004-08-24,49.67,0,50.802
41847,"Data from internal testing indicates that the Nichols Advantage Invasive Trophoblast Antigen Assay Cartridges (ITA)(Lot No 62-500261) and Hyperglycosylated Human Chorionic Gonadotropin Assay Cartridges (H-hCG)(Lot No 62-500262) does not maintain its stability over the 12 month expiration dating of the product, and that stability is assured only through 6 months.",Low,2005-08-31,95.78,0,78.46799999999999
48463,"A component of the device is a Dell laptop computer, which contains batteries that are under recall because they can overheat and cause a fire.",Low,2006-09-08,88.49,0,74.094
53847,Elevated inspired CO2 levels related to the use of the Datex-Ohmeda GE Healthcare Disposable Multi Absorber Canister with the EZchange Module.,Low,2007-07-24,78.0,0,67.8
71772,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,92.29,0,76.374
82495,"The cup associated with these lots of product may have a pin-sized hole in the floor of the cup.  As a result, there is a potential  for affected lots of cups to leak urine after an extended period of time.",Low,2009-04-27,88.22,0,73.93199999999999
93083,"Under certain wireless network conditions a communication error can occur, which freezes the PC Unit screen, which may result in a delay of therapy.  A delay of therapy may result in serious injury and/or death. CareFusion identified this potential risk associated with the Alaris PC unit model 8015 only (PC Unit) manufactured between December-2008 and September-2009.",Low,2010-07-13,51.19,2,49.714
101368,An investigation was initiated based on a report from the field in which an Intensive Follow-up Indicator (IFI) message was unexpectedly received by a medical professional when using Model 250 version 8.0 software to interrogate a patient's Model 103 Generator.,Low,2011-05-06,93.55,0,77.13
112953,"When the outer catheter is either coiled or in a contorted configuration outside of the endoscope and the patient, and excessive force is applied to the handle, the jaws may become inoperable and may become stuck in the open condition.",Low,2011-11-14,72.36,0,64.416
121529,Medical device tubing used for endotracheal airway application may become weakened and rendered ineffective.,Low,2013-08-27,88.45,0,74.07
129364,"Some users of ENVOY 500 AST Reagent Kit, reference 55255, for Envoy 500 systems are observing that Quality Control (QC) fails before the product expiry is reached.",Low,2014-08-11,93.77,0,77.262
149075,Foreign material found within the driveline connector of the HVAD Pump that could cause increased impedance resulting in electrical faults.,Medium,2016-08-17,59.08,0,47.448
158632,"There is a potential failure of the top plate assembly, which is the component that connects the seating system of the wheelchair to the base.",Low,2017-09-01,46.6,1,47.96
166565,Endologix is notifying physicians of patient tailored surveillance recommendations as well as general warnings/precautions for interventions to or through an existing AFX device.  This is a follow-up notification to the one that was sent out in December 2016.  The updates are related to the observation of Type III endoleaks.,Low,2018-07-31,53.68,0,53.208
176402,Potential for leaking product,Medium,2018-09-21,65.63,0,51.37799999999999
183100,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,Medium,2020-08-12,89.08,0,65.44800000000001
189115,There is a potential for false positive results.,Low,2021-09-02,91.64,0,75.98400000000001
195699,"The outer label does not match the device inside the package. The affected lot of EVOLVE Proline Stem 7.5mm +2 contains a size 9.5mm +4 stem, while the affected lot of EVOLVE Proline Stem 9.5mm +4 contains a size 7.5mm +2 stem.",Medium,2022-08-03,40.42,0,36.251999999999995
202862,"There is a potential for blood backfill leakage
and foreign material.",Medium,2023-08-08,70.64,0,54.384
209890,"Pressure sensitive adhesive hooks attached to the sides of the anterior cervical orthosis collar panel can occasionally exhibit poor adhesion, which may lead to them gradually peeling off with repeated doffing, possibly leading to reduced immobilization of the cervical spine.",Medium,2024-08-20,65.04,0,51.024
29148,Software defect.  Clinical Laboratory results failing quality assurance were filed directly to a patient's chart without review.,Low,2003-08-12,53.33,1,51.998
34917,The product does not demonstrate the expected prolonged thrombin times for specimens obtained from patients recieving heparin,Low,2004-07-21,47.19,0,49.31399999999999
41850,"Data from internal testing indicates that the Nichols Advantage Invasive Trophoblast Antigen Assay Cartridges (ITA)(Lot No 62-500261) and Hyperglycosylated Human Chorionic Gonadotropin Assay Cartridges (H-hCG)(Lot No 62-500262) does not maintain its stability over the 12 month expiration dating of the product, and that stability is assured only through 6 months.",Low,2005-08-31,60.26,0,57.156
48464,"A component of the device is a Dell laptop computer, which contains batteries that are under recall because they can overheat and cause a fire.",Low,2006-09-08,96.57,0,78.942
53853,Firm discovered that a deterioration value of approximately 20% was found when the product of this lot was measured.  Tosoh AIA confirmed that deterioration of the product occurred over time and resulted in a deviation from the assigned value.,Low,2007-06-22,59.39,0,56.634
71817,"Some of the labels are glossy, resulting in the bar code being difficult to read by the bar code reader.",Low,2008-06-11,71.13,0,63.678
82496,"The cup associated with these lots of product may have a pin-sized hole in the floor of the cup.  As a result, there is a potential  for affected lots of cups to leak urine after an extended period of time.",Low,2009-04-27,82.18,0,70.30799999999999
87691,It was discovered that the operator console did not have a label affixed in accordance with 21CFR 1010.2 indicating certification to applicable performance standards.,Low,2009-05-01,61.82,0,58.092
103856,The Outlook ES Dose Guard Care Area can inadvertently be exited when the pump enters the KVO (Keep Vein Open) state.  The same condition can occur when a sequence of HOLD-HOLD key strokes are performed on the pump key panel.,Low,2010-07-20,98.31,0,79.98599999999999
112153,Invuity is notifying customers to return all obsolete BriteField Illuminated Suction Devices from the field. It has not been distributed since March 2011 as the next generation product was introduced at that time.,Low,2012-05-12,97.75,0,79.65
122212,Bard Peripheral Vascular is recalling specific lots of Bard Lifestent Solo Vascular Stent because they have determined a higher incidence rate of partial stent deployment associated with their use.,Low,2013-09-30,55.11,0,54.065999999999995
129618,"Ortho Clinical Diagnostics identified a potential for biased results to be generated when using VITROS PHYT Slides, Lot 2613-0150-4913.  Some positively biased results were identified during testing of a different VITROS PHYT Slide lot; the affected slides were not released for distribution.  Since Lot 2613-0150-4913 was manufactured in the same event, there is the potential for slides from this lot to also be affected.",Low,2014-08-20,69.83,0,62.897999999999996
149142,Baxter Healthcare Corporation is issuing a voluntary product recall for all unexpired lots of the 50mm 0.2 Micron Filter (Product Code: H93835) due to the potential for the filter membrane layer to be missing and for particulate matter to be present.,Low,2016-08-24,58.05,0,55.83
157875,The Swish Duo-Grip Healing Collar part number 9048-13H (4.8mm) package contained a 9037-13H (3.7 mm) component.,Low,2017-07-21,57.09,0,55.254
167115,Endologix is notifying physicians of patient tailored surveillance recommendations as well as general warnings/precautions for interventions to or through an existing AFX device.  This is a follow-up notification to the one that was sent out in December 2016.  The updates are related to the observation of Type III endoleaks.,Low,2018-07-31,42.21,0,46.326
176404,Potential for leaking product,Medium,2018-09-21,76.57,0,57.94199999999999
183101,The device staples may not properly form upon application preventing adequate hemostasis.  Use of a product with this assembly error may result in incomplete staple formation.,Medium,2020-08-12,70.16,0,54.096
189116,There is a potential for false positive results.,Low,2021-09-02,43.09,0,46.854
196076,"The outer sterile package cavity has a corner wall thickness that is below the specification. The thin corner wall could potentially crack during transit. Potential risks include non-clinically or clinically significant extension of surgery, or infection leading to surgical intervention.",Medium,2022-08-25,56.72,0,46.032
202863,"There is a potential for blood backfill leakage
and foreign material.",Medium,2023-08-08,94.5,0,68.69999999999999
